iter	F:beta=2
0	0.7228915663
1	0.7113821138
2	0.7474747475
3	0.7317073171
4	0.745526839
5	0.7385229541
6	0.745526839
7	0.7608695652
8	0.6781376518
9	0.7157057654
10	0.7414829659
11	0.7429718876
12	0.7344064386
13	0.75
14	0.7243460765
15	0.7258064516
16	0.7258064516
17	0.7258064516
18	0.7272727273
19	0.75
20	0.7429718876
21	0.7584830339
22	0.7429718876
23	0.7270916335
24	0.7270916335
25	0.7285429142
26	0.72
27	0.702970297
28	0.7114624506
29	0.6740442656
30	0.68359375
31	0.6640625
32	0.6879844961
33	0.6906614786
34	0.6920077973
35	0.6920077973
36	0.693359375
37	0.693359375
38	0.6920077973
39	0.693359375
40	0.7350096712
41	0.7350096712
42	0.7456978967
43	0.7471264368
44	0.7403846154
45	0.7389635317
46	0.7335907336
47	0.7307692308
48	0.654296875
49	0.6530214425
50	0.5321285141
51	0.5489021956
52	0.5489021956
53	0.5577689243
54	0.431211499
55	0.4583333333
56	0.4451345756
57	0.4451345756
58	0.4261954262
59	0.4261954262
60	0.4451345756
61	0.4261954262
62	0.4253112033
63	0.4261954262
64	0.423553719
65	0.423553719
66	0.4045643154
67	0.4037267081
68	0.3983228512
69	0.3886554622
70	0.40625
71	0.3974895397
72	0.3966597077
73	0.3966597077
74	0.3966597077
75	0.3958333333
76	0.3958333333
77	0.3958333333
78	0.3878406709
79	0.3878406709
80	0.3894736842
81	0.3601694915
82	0.3510638298
83	0.3397027601
84	0.3276955603
85	0.3382663848
86	0.3304904051
87	0.329787234
88	0.3249475891
89	0.3164556962
90	0.3065539112
91	0.3104925054
92	0.3004291845
93	0.3004291845
94	0.2896995708
95	0.2991452991
96	0.3091684435
97	0.2370689655
98	0.2608695652
99	0.2591792657
100	0.2178649237
101	0.2262931034
102	0.2155172414
103	0.2253218884
104	0.1943844492
105	0.1939655172
106	0.2043010753
107	0.2034261242
108	0.202991453
109	0.2127659574
110	0.2215189873
111	0.221987315
112	0.221987315
113	0.2210526316
114	0.2210526316
115	0.2210526316
116	0.2215189873
117	0.2215189873
118	0.2215189873
119	0.2205882353
120	0.2016985138
121	0.2016985138
122	0.221987315
123	0.2306079665
124	0.230125523
125	0.2201257862
126	0.2296450939
127	0.2489626556
128	0.2489626556
129	0.2489626556
130	0.2489626556
131	0.3528225806
132	0.3528225806
133	0.3629032258
134	0.3535353535
135	0.3629032258
136	0.3535353535
137	0.3448275862
138	0.3535353535
139	0.3535353535
140	0.3542510121
141	0.3360488798
142	0.3360488798
143	0.3360488798
144	0.3360488798
145	0.3360488798
146	0.3353658537
147	0.3353658537
148	0.3353658537
149	0.3265306122
150	0.3265306122
151	0.327198364
152	0.3189300412
153	0.3189300412
154	0.3189300412
155	0.3189300412
156	0.3092783505
157	0.3002070393
158	0.3002070393
159	0.3002070393
160	0.3002070393
161	0.3002070393
162	0.3002070393
163	0.2995867769
164	0.3092783505
165	0.3099173554
166	0.3002070393
167	0.3092783505
168	0.3092783505
169	0.3002070393
170	0.2910602911
171	0.3002070393
172	0.2916666667
173	0.2916666667
174	0.2916666667
175	0.2916666667
