iter	Passed	Remaining
0	18	18135
1	79	39493
2	141	47002
3	161	40206
4	207	41383
5	213	35446
6	232	32954
7	233	28962
8	281	30951
9	292	28908
10	328	29546
11	332	27403
12	345	26205
13	346	24413
14	349	22942
15	365	22463
16	370	21450
17	372	20298
18	377	19491
19	379	18580
20	397	18509
21	432	19213
22	433	18426
23	436	17746
24	456	17810
25	458	17186
26	461	16616
27	482	16737
28	494	16571
29	548	17741
30	549	17187
31	551	16673
32	553	16209
33	554	15747
34	555	15311
35	556	14913
36	559	14554
37	562	14228
38	593	14627
39	595	14286
40	616	14429
41	618	14107
42	652	14512
43	654	14215
44	678	14399
45	679	14099
46	682	13845
47	705	13985
48	706	13707
49	708	13461
50	709	13204
51	728	13289
52	730	13048
53	731	12815
54	753	12941
55	773	13045
56	776	12842
57	858	13948
58	861	13735
59	862	13515
60	914	14084
61	953	14420
62	992	14758
63	994	14540
64	996	14329
65	1018	14410
66	1042	14523
67	1044	14320
68	1047	14129
69	1071	14234
70	1072	14038
71	1074	13846
72	1090	13852
73	1092	13670
74	1105	13638
75	1118	13597
76	1119	13423
77	1121	13257
78	1214	14161
79	1256	14448
80	1258	14275
81	1279	14323
82	1281	14154
83	1298	14155
84	1299	13991
85	1318	14013
86	1320	13856
87	1329	13777
88	1331	13632
89	1332	13477
90	1345	13443
91	1346	13293
92	1361	13281
93	1380	13301
94	1381	13158
95	1382	13018
96	1401	13047
97	1402	12910
98	1405	12791
99	1414	12728
100	1415	12596
101	1416	12470
102	1428	12436
103	1429	12312
104	1430	12191
105	1432	12079
106	1433	11961
107	1441	11908
108	1442	11794
109	1444	11689
110	1446	11583
111	1447	11475
112	1448	11369
113	1450	11270
114	1467	11289
115	1468	11192
116	1470	11095
117	1471	10999
118	1472	10903
119	1474	10812
120	1500	10897
121	1573	11320
122	1587	11318
123	1646	11629
124	1648	11538
125	1675	11623
126	1677	11529
127	1678	11437
128	1681	11353
129	1700	11382
130	1703	11301
131	1705	11213
132	1724	11243
133	1727	11166
134	1730	11085
135	1770	11246
136	1771	11158
137	1772	11073
138	1774	10988
139	1775	10904
140	1776	10820
141	1777	10739
142	1779	10661
143	1781	10588
144	1782	10512
145	1783	10434
146	1785	10358
147	1786	10283
148	1787	10209
149	1788	10136
150	1790	10064
151	1791	9993
152	1792	9923
153	1793	9853
154	1794	9785
155	1796	9719
156	1808	9711
157	1816	9679
158	1840	9735
159	1848	9705
160	1850	9641
161	1851	9576
162	1854	9521
163	1855	9457
164	1859	9410
165	1860	9346
166	1861	9284
167	1862	9222
168	1863	9161
169	1864	9102
170	1865	9043
171	1866	8985
172	1867	8927
173	1869	8874
174	1870	8818
175	1872	8764
